year,month,day,home_team,away_team,home_score,away_score,tournament,country,neutral
1872,11,30,Scotland,England,0,0,Friendly,Scotland,FALSE
1873,3,8,England,Scotland,4,2,Friendly,England,FALSE
1874,3,7,Scotland,England,2,1,Friendly,Scotland,FALSE
1875,3,6,England,Scotland,2,2,Friendly,England,FALSE
1876,3,4,Scotland,England,3,0,Friendly,Scotland,FALSE
1876,3,25,Scotland,Wales,4,0,Friendly,Scotland,FALSE
1877,3,3,England,Scotland,1,3,Friendly,England,FALSE
1877,3,5,Wales,Scotland,0,2,Friendly,Wales,FALSE
1878,3,2,Scotland,England,7,2,Friendly,Scotland,FALSE
1878,3,23,Scotland,Wales,9,0,Friendly,Scotland,FALSE
1879,1,18,England,Wales,2,1,Friendly,England,FALSE
1879,4,5,England,Scotland,5,4,Friendly,England,FALSE
1879,4,7,Wales,Scotland,0,3,Friendly,Wales,FALSE
1880,3,13,Scotland,England,5,4,Friendly,Scotland,FALSE
1880,3,15,Wales,England,2,3,Friendly,Wales,FALSE
1880,3,27,Scotland,Wales,5,1,Friendly,Scotland,FALSE
1881,2,26,England,Wales,0,1,Friendly,England,FALSE
1881,3,12,England,Scotland,1,6,Friendly,England,FALSE
1881,3,14,Wales,Scotland,1,5,Friendly,Wales,FALSE
1882,2,18,Ireland,England,0,13,Friendly,Ireland,FALSE
1882,2,25,Wales,Ireland,7,1,Friendly,Wales,FALSE
1882,3,11,Scotland,England,5,1,Friendly,Scotland,FALSE
1882,3,13,Wales,England,5,3,Friendly,Wales,FALSE
1882,3,25,Scotland,Wales,5,0,Friendly,Scotland,FALSE
1883,2,3,England,Wales,5,0,Friendly,England,FALSE
1883,2,24,England,Ireland,7,0,Friendly,England,FALSE
1883,3,10,England,Scotland,2,3,Friendly,England,FALSE
1883,3,12,Wales,Scotland,0,3,Friendly,Wales,FALSE
1883,3,17,Ireland,Wales,1,1,Friendly,Ireland,FALSE
1884,1,26,Ireland,Scotland,0,5,British Championship,Ireland,FALSE
1884,2,9,Wales,Ireland,6,0,British Championship,Wales,FALSE
1884,2,23,Ireland,England,1,8,British Championship,Ireland,FALSE
1884,3,15,Scotland,England,1,0,British Championship,Scotland,FALSE
1884,3,17,Wales,England,0,4,British Championship,Wales,FALSE
1884,3,29,Scotland,Wales,4,1,British Championship,Scotland,FALSE
1885,2,28,England,Ireland,4,0,British Championship,England,FALSE
1885,3,14,Scotland,Ireland,8,2,British Championship,Scotland,FALSE
1885,3,14,England,Wales,1,1,British Championship,England,FALSE
1885,3,21,England,Scotland,1,1,British Championship,England,FALSE
1885,3,23,Wales,Scotland,1,8,British Championship,Wales,FALSE
1885,4,11,Ireland,Wales,2,8,British Championship,Ireland,FALSE
1886,2,27,Wales,Ireland,5,0,British Championship,Wales,FALSE
1886,3,13,Ireland,England,1,6,British Championship,Ireland,FALSE
1886,3,20,Ireland,Scotland,2,7,British Championship,Ireland,FALSE
1886,3,27,Scotland,England,1,1,British Championship,Scotland,FALSE
1886,3,29,Wales,England,1,3,British Championship,Wales,FALSE
1886,4,10,Scotland,Wales,4,1,British Championship,Scotland,FALSE
1887,2,5,England,Ireland,7,0,British Championship,England,FALSE
1887,2,19,Scotland,Ireland,4,1,British Championship,Scotland,FALSE
1887,2,26,England,Wales,4,0,British Championship,England,FALSE
1887,3,12,Ireland,Wales,4,1,British Championship,Ireland,FALSE
1887,3,19,England,Scotland,2,3,British Championship,England,FALSE
1887,3,21,Wales,Scotland,0,2,British Championship,Wales,FALSE
1888,2,4,England,Wales,5,1,British Championship,England,FALSE
1888,3,3,Wales,Ireland,11,0,British Championship,Wales,FALSE
1888,3,10,Scotland,Wales,5,1,British Championship,Scotland,FALSE
1888,3,17,Scotland,England,0,5,British Championship,Scotland,FALSE
1888,3,24,Ireland,Scotland,2,10,British Championship,Ireland,FALSE
1888,4,7,Ireland,England,1,5,British Championship,Ireland,FALSE
1889,2,23,England,Wales,4,1,British Championship,England,FALSE
1889,3,2,England,Ireland,6,1,British Championship,England,FALSE
1889,3,9,Scotland,Ireland,7,0,British Championship,Scotland,FALSE
1889,4,13,England,Scotland,2,3,British Championship,England,FALSE
1889,4,15,Wales,Scotland,0,0,British Championship,Wales,FALSE
1889,4,27,Ireland,Wales,1,3,British Championship,Ireland,FALSE
1890,2,8,Wales,Ireland,5,2,British Championship,England,TRUE
1890,3,15,Ireland,England,1,9,British Championship,Ireland,FALSE
1890,3,15,Wales,England,1,3,British Championship,Wales,FALSE
1890,3,22,Scotland,Wales,5,0,British Championship,Scotland,FALSE
1890,3,29,Ireland,Scotland,1,4,British Championship,Ireland,FALSE
1890,4,5,Scotland,England,1,1,British Championship,Scotland,FALSE
1891,2,7,Ireland,Wales,7,2,British Championship,Ireland,FALSE
1891,3,7,England,Wales,4,1,British Championship,England,FALSE
1891,3,7,England,Ireland,6,1,British Championship,England,FALSE
1891,3,21,Wales,Scotland,3,4,British Championship,Wales,FALSE
1891,3,28,Scotland,Ireland,2,1,British Championship,Scotland,FALSE
1891,4,4,England,Scotland,2,1,British Championship,England,FALSE
1892,2,27,Wales,Ireland,1,1,British Championship,Wales,FALSE
1892,3,5,Ireland,England,0,2,British Championship,Ireland,FALSE
1892,3,5,Wales,England,0,2,British Championship,Wales,FALSE
1892,3,19,Ireland,Scotland,2,3,British Championship,Ireland,FALSE
1892,3,26,Scotland,Wales,6,1,British Championship,Scotland,FALSE
1892,4,2,Scotland,England,1,4,British Championship,Scotland,FALSE
1893,2,25,England,Ireland,6,1,British Championship,England,FALSE
1893,3,13,England,Wales,6,0,British Championship,England,FALSE
1893,3,18,Wales,Scotland,0,8,British Championship,Wales,FALSE
1893,3,25,Scotland,Ireland,6,1,British Championship,Scotland,FALSE
1893,4,1,England,Scotland,5,2,British Championship,England,FALSE
1893,4,8,Ireland,Wales,4,3,British Championship,Ireland,FALSE
1894,2,24,Wales,Ireland,4,1,British Championship,Wales,FALSE
1894,3,3,Ireland,England,2,2,British Championship,Ireland,FALSE
1894,3,12,Wales,England,1,5,British Championship,Wales,FALSE
1894,3,24,Scotland,Wales,5,2,British Championship,Scotland,FALSE
1894,3,31,Ireland,Scotland,1,2,British Championship,Ireland,FALSE
1894,4,7,Scotland,England,2,2,British Championship,Scotland,FALSE
1895,3,9,England,Ireland,9,0,British Championship,England,FALSE
1895,3,16,Ireland,Wales,2,2,British Championship,Ireland,FALSE
1895,3,18,England,Wales,1,1,British Championship,England,FALSE
1895,3,23,Wales,Scotland,2,2,British Championship,Wales,FALSE
1895,3,30,Scotland,Ireland,3,1,British Championship,Scotland,FALSE
1895,4,6,England,Scotland,3,0,British Championship,England,FALSE
1896,2,29,Wales,Ireland,6,1,British Championship,Wales,FALSE
1896,3,7,Ireland,England,0,2,British Championship,Ireland,FALSE
1896,3,16,Wales,England,1,9,British Championship,Wales,FALSE
1896,3,21,Scotland,Wales,4,0,British Championship,Scotland,FALSE
1896,3,28,Ireland,Scotland,3,3,British Championship,Ireland,FALSE
1896,4,4,Scotland,England,2,1,British Championship,Scotland,FALSE
1897,2,20,England,Ireland,6,0,British Championship,England,FALSE
1897,3,6,Ireland,Wales,4,3,British Championship,Ireland,FALSE
1897,3,20,Wales,Scotland,2,2,British Championship,Wales,FALSE
1897,3,27,Scotland,Ireland,5,1,British Championship,Scotland,FALSE
1897,3,29,England,Wales,4,0,British Championship,England,FALSE
1897,4,3,England,Scotland,1,2,British Championship,England,FALSE
1898,2,19,Wales,Ireland,0,1,British Championship,Wales,FALSE
1898,3,5,Ireland,England,2,3,British Championship,Ireland,FALSE
1898,3,19,Scotland,Wales,5,2,British Championship,Scotland,FALSE
1898,3,26,Ireland,Scotland,0,3,British Championship,Ireland,FALSE
1898,3,28,Wales,England,0,3,British Championship,Wales,FALSE
1898,4,2,Scotland,England,1,3,British Championship,Scotland,FALSE
1899,2,18,England,Ireland,13,2,British Championship,England,FALSE
1899,3,4,Ireland,Wales,1,0,British Championship,Ireland,FALSE
1899,3,18,Wales,Scotland,0,6,British Championship,Wales,FALSE
1899,3,20,England,Wales,4,0,British Championship,England,FALSE
1899,3,25,Scotland,Ireland,9,1,British Championship,Scotland,FALSE
1899,4,8,England,Scotland,2,1,British Championship,England,FALSE
1900,2,3,Scotland,Wales,5,2,British Championship,Scotland,FALSE
1900,2,24,Wales,Ireland,2,0,British Championship,Wales,FALSE
1900,3,3,Ireland,Scotland,0,3,British Championship,Ireland,FALSE
1900,3,17,Ireland,England,0,2,British Championship,Ireland,FALSE
1900,3,26,Wales,England,1,1,British Championship,Wales,FALSE
1900,4,7,Scotland,England,4,1,British Championship,Scotland,FALSE
1901,2,23,Scotland,Ireland,11,0,British Championship,Scotland,FALSE
1901,3,2,Wales,Scotland,1,1,British Championship,Wales,FALSE
1901,3,9,England,Ireland,3,0,British Championship,England,FALSE
1901,3,18,England,Wales,6,0,British Championship,England,FALSE
1901,3,23,Ireland,Wales,0,1,British Championship,Ireland,FALSE
1901,3,30,England,Scotland,2,2,British Championship,England,FALSE
1902,2,22,Wales,Ireland,0,3,British Championship,Wales,FALSE
1902,3,1,Ireland,Scotland,1,5,British Championship,Ireland,FALSE
1902,3,3,Wales,England,0,0,British Championship,Wales,FALSE
1902,3,15,Scotland,Wales,5,1,British Championship,Scotland,FALSE
1902,3,22,Ireland,England,0,1,British Championship,Ireland,FALSE
1902,4,5,Scotland,England,1,1,British Championship,Scotland,FALSE
1902,5,3,England,Scotland,2,2,British Championship,England,FALSE
1902,7,20,Uruguay,Argentina,0,6,Friendly,Uruguay,FALSE
1902,8,9,Ireland,Scotland,0,3,Friendly,Ireland,FALSE
1902,10,12,Austria,Hungary,5,0,Friendly,Austria,FALSE
1903,2,14,England,Ireland,4,0,British Championship,England,FALSE
1903,3,2,England,Wales,2,1,British Championship,England,FALSE
1903,3,9,Wales,Scotland,0,1,British Championship,Wales,FALSE
1903,3,21,Scotland,Ireland,0,2,British Championship,Scotland,FALSE
1903,3,28,Ireland,Wales,2,0,British Championship,Ireland,FALSE
1903,4,4,England,Scotland,1,2,British Championship,England,FALSE
1903,4,5,Hungary,Bohemia,2,1,Friendly,Hungary,FALSE
1903,6,11,Hungary,Austria,3,2,Friendly,Hungary,FALSE
1903,9,13,Argentina,Uruguay,2,3,Friendly,Argentina,FALSE
1903,10,11,Austria,Hungary,4,2,Friendly,Austria,FALSE
1904,2,29,Wales,England,2,2,British Championship,Wales,FALSE
1904,3,12,Scotland,Wales,1,1,British Championship,Scotland,FALSE
1904,3,12,Ireland,England,1,3,British Championship,Ireland,FALSE
1904,3,21,Wales,Ireland,0,1,British Championship,Wales,FALSE
1904,3,26,Ireland,Scotland,1,1,British Championship,Ireland,FALSE
1904,4,9,Scotland,England,0,1,British Championship,Scotland,FALSE
1904,5,1,Belgium,France,3,3,Friendly,Belgium,FALSE
1904,6,2,Hungary,Austria,3,0,Friendly,Hungary,FALSE
1904,10,9,Austria,Hungary,5,4,Friendly,Austria,FALSE
1905,2,12,France,Switzerland,1,0,Friendly,France,FALSE
1905,2,25,England,Ireland,1,1,British Championship,England,FALSE
1905,3,6,Wales,Scotland,3,1,British Championship,Wales,FALSE
1905,3,18,Scotland,Ireland,4,0,British Championship,Scotland,FALSE
1905,3,27,England,Wales,3,1,British Championship,England,FALSE
1905,4,1,England,Scotland,1,0,British Championship,England,FALSE
1905,4,8,Ireland,Wales,2,2,British Championship,Ireland,FALSE
1905,4,9,Hungary,Austria,0,0,Friendly,Hungary,FALSE
1905,4,30,Belgium,Netherlands,1,4,Friendly,Belgium,FALSE
1905,5,7,Belgium,France,7,0,Friendly,Belgium,FALSE
1905,5,14,Netherlands,Belgium,4,0,Friendly,Netherlands,FALSE
1905,7,21,British Guiana,Trinidad and Tobago,1,4,Friendly,British Guiana,FALSE
1905,8,15,Argentina,Uruguay,0,0,Lipton Cup,Argentina,FALSE
1906,2,17,Ireland,England,0,5,British Championship,Ireland,FALSE
1906,3,3,Scotland,Wales,0,2,British Championship,Scotland,FALSE
1906,3,17,Ireland,Scotland,0,1,British Championship,Ireland,FALSE
1906,3,19,Wales,England,0,1,British Championship,Wales,FALSE
1906,4,1,Hungary,Bohemia,1,1,Friendly,Hungary,FALSE
1906,4,2,Wales,Ireland,4,4,British Championship,Wales,FALSE
1906,4,7,Scotland,England,2,1,British Championship,Scotland,FALSE
1906,4,22,France,Belgium,0,5,Friendly,France,FALSE
1906,4,29,Belgium,Netherlands,5,0,Friendly,Belgium,FALSE
1906,5,13,Netherlands,Belgium,2,3,Friendly,Netherlands,FALSE
1906,7,9,Argentina,South Africa,0,1,Friendly,Argentina,FALSE
1906,8,15,Uruguay,Argentina,0,2,Lipton Cup,Uruguay,FALSE
1906,10,7,Bohemia,Hungary,4,4,Friendly,Bohemia,FALSE
1906,10,21,Argentina,Uruguay,2,1,Newton Cup,Argentina,FALSE
1906,11,1,France,England,0,15,Friendly,France,FALSE
1906,11,4,Hungary,Austria,3,1,Friendly,Hungary,FALSE
1907,2,16,England,Ireland,1,0,British Championship,England,FALSE
1907,2,23,Ireland,Wales,2,3,British Championship,Ireland,FALSE
1907,3,4,Wales,Scotland,1,0,British Championship,Wales,FALSE
1907,3,16,Scotland,Ireland,3,0,British Championship,Scotland,FALSE
1907,3,18,England,Wales,1,1,British Championship,England,FALSE
1907,4,1,Netherlands,England,1,8,Friendly,Netherlands,FALSE
1907,4,6,England,Scotland,1,1,British Championship,England,FALSE
1907,4,7,Hungary,Bohemia,5,2,Friendly,Hungary,FALSE
1907,4,14,Belgium,Netherlands,1,3,Friendly,Belgium,FALSE
1907,4,21,Belgium,France,1,2,Friendly,Belgium,FALSE
1907,5,5,Austria,Hungary,3,1,Friendly,Austria,FALSE
1907,5,9,Netherlands,Belgium,1,2,Friendly,Netherlands,FALSE
1907,8,15,Argentina,Uruguay,2,1,Lipton Cup,Argentina,FALSE
1907,10,6,Uruguay,Argentina,1,2,Newton Cup,Uruguay,FALSE
1907,10,6,Bohemia,Hungary,5,3,Friendly,Bohemia,FALSE
1907,11,3,Hungary,Austria,4,1,Friendly,Hungary,FALSE
1907,12,21,England,Netherlands,12,2,Friendly,England,FALSE
1908,2,15,Ireland,England,1,3,British Championship,Ireland,FALSE
1908,3,7,Scotland,Wales,2,1,British Championship,Scotland,FALSE
1908,3,8,Switzerland,France,1,2,Friendly,Switzerland,FALSE
1908,3,14,Ireland,Scotland,0,5,British Championship,Ireland,FALSE
1908,3,16,Wales,England,1,7,British Championship,Wales,FALSE
1908,3,23,England,France,12,0,Friendly,England,FALSE
1908,3,29,Belgium,Netherlands,1,4,Friendly,Belgium,FALSE
1908,4,4,Scotland,England,1,1,British Championship,Scotland,FALSE
1908,4,5,Hungary,Bohemia,5,2,Friendly,Hungary,FALSE
1908,4,5,Switzerland,Germany,5,3,Friendly,Switzerland,FALSE
1908,4,11,Wales,Ireland,0,1,British Championship,Wales,FALSE
1908,4,12,France,Belgium,1,2,Friendly,France,FALSE
1908,4,18,Belgium,England,2,8,Friendly,Belgium,FALSE
1908,4,20,Germany,England,1,5,Friendly,Germany,FALSE
1908,4,26,Netherlands,Belgium,3,1,Friendly,Netherlands,FALSE
1908,5,3,Austria,Hungary,4,0,Friendly,Austria,FALSE
1908,5,10,Netherlands,France,4,1,Friendly,Netherlands,FALSE
1908,6,6,Austria,England,1,6,Friendly,Austria,FALSE
1908,6,7,Austria,Germany,3,2,Friendly,Austria,FALSE
1908,6,8,Austria,England,1,11,Friendly,Austria,FALSE
1908,6,10,Hungary,England,0,7,Friendly,Hungary,FALSE
1908,6,13,Bohemia,England,0,4,Friendly,Bohemia,FALSE
1908,7,12,Sweden,Norway,11,3,Friendly,Sweden,FALSE
1908,8,15,Uruguay,Argentina,2,2,Lipton Cup,Uruguay,FALSE
1908,9,8,Sweden,England,1,6,Friendly,Sweden,FALSE
1908,9,13,Argentina,Uruguay,2,1,Newton Cup,Argentina,FALSE
1908,10,4,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Argentina,FALSE
1908,10,19,Denmark,France,9,0,Olympic Games,England,TRUE
1908,10,20,England,Sweden,12,1,Olympic Games,England,FALSE
1908,10,22,England,Netherlands,4,0,Olympic Games,England,FALSE
1908,10,22,Denmark,France,17,1,Olympic Games,England,TRUE
1908,10,23,Netherlands,Sweden,2,0,Olympic Games,England,TRUE
1908,10,24,England,Denmark,2,0,Olympic Games,England,FALSE
1908,10,25,Netherlands,Sweden,5,3,Friendly,Netherlands,FALSE
1908,10,26,Belgium,Sweden,2,1,Friendly,Belgium,FALSE
1908,11,1,Hungary,Austria,5,3,Friendly,Hungary,FALSE
1909,2,13,England,Ireland,4,0,British Championship,England,FALSE
1909,3,1,Wales,Scotland,3,2,British Championship,Wales,FALSE
1909,3,13,England,Germany,9,0,Friendly,England,FALSE
1909,3,15,Scotland,Ireland,5,0,British Championship,Scotland,FALSE
1909,3,15,England,Wales,2,0,British Championship,England,FALSE
1909,3,20,Ireland,Wales,2,3,British Championship,Ireland,FALSE
1909,3,21,Belgium,Netherlands,1,4,Friendly,Belgium,FALSE
1909,4,3,England,Scotland,2,0,British Championship,England,FALSE
1909,4,4,Hungary,Germany,3,3,Friendly,Hungary,FALSE
1909,4,4,Germany,Switzerland,1,0,Friendly,Germany,FALSE
1909,4,12,Netherlands,England,0,4,Friendly,Netherlands,FALSE
1909,4,19,England,Belgium,11,2,Friendly,England,FALSE
1909,4,25,Netherlands,Belgium,4,1,Friendly,Netherlands,FALSE
1909,5,2,Austria,Hungary,3,4,Friendly,Austria,FALSE
1909,5,9,Belgium,France,5,2,Friendly,Belgium,FALSE
1909,5,20,Switzerland,England,0,9,Friendly,Switzerland,FALSE
1909,5,22,France,England,0,11,Friendly,France,FALSE
1909,5,29,Hungary,England,2,4,Friendly,Hungary,FALSE
1909,5,30,Hungary,Austria,1,1,Friendly,Hungary,FALSE
1909,5,31,Hungary,England,2,8,Friendly,Hungary,FALSE
1909,6,1,Austria,England,1,8,Friendly,Austria,FALSE
1909,8,15,Argentina,Uruguay,2,1,Lipton Cup,Argentina,FALSE
1909,9,19,Uruguay,Argentina,2,2,Newton Cup,Uruguay,FALSE
1909,10,10,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,Argentina,FALSE
1909,11,6,England,Sweden,7,0,Friendly,England,FALSE
1909,11,7,Hungary,Austria,2,2,Friendly,Hungary,FALSE
1909,12,11,England,Netherlands,9,1,Friendly,England,FALSE
1910,2,12,Ireland,England,1,1,British Championship,Ireland,FALSE
1910,3,5,Scotland,Wales,1,0,British Championship,Scotland,FALSE
1910,3,13,Belgium,Netherlands,3,2,Friendly,Belgium,FALSE
1910,3,14,Wales,England,0,1,British Championship,Wales,FALSE
1910,3,19,Ireland,Scotland,1,0,British Championship,Ireland,FALSE
1910,3,26,Belgium,England,2,2,Friendly,Belgium,FALSE
1910,4,2,Scotland,England,2,0,British Championship,Scotland,FALSE
1910,4,3,France,Belgium,0,4,Friendly,France,FALSE
1910,4,3,Switzerland,Germany,2,3,Friendly,Switzerland,FALSE
1910,4,9,England,Switzerland,6,1,Friendly,England,FALSE
1910,4,10,Netherlands,Belgium,7,0,Friendly,Netherlands,FALSE
1910,4,11,Wales,Ireland,4,1,British Championship,Wales,FALSE
1910,4,16,England,France,10,1,Friendly,England,FALSE
1910,4,24,Netherlands,Germany,4,2,Friendly,Netherlands,FALSE
1910,5,1,Austria,Hungary,2,1,Friendly,Austria,FALSE
1910,5,5,Denmark,England,2,1,Friendly,Denmark,FALSE
1910,5,15,Italy,France,6,2,Friendly,Italy,FALSE
1910,5,16,Germany,Belgium,0,3,Friendly,Germany,FALSE
1910,5,26,Hungary,Italy,6,1,Friendly,Hungary,FALSE
1910,5,27,Argentina,Chile,3,1,Friendly,Argentina,FALSE
1910,5,29,Uruguay,Chile,3,0,Copa Cent Rev Mayo,Argentina,TRUE
1910,6,5,Argentina,Chile,5,1,Copa Cent Rev Mayo,Argentina,FALSE
1910,6,12,Argentina,Uruguay,4,1,Copa Cent Rev Mayo,Argentina,FALSE
1910,6,29,South Africa,England,0,3,Friendly,South Africa,FALSE
1910,7,23,South Africa,England,2,6,Friendly,South Africa,FALSE
1910,7,30,South Africa,England,3,6,Friendly,South Africa,FALSE
1910,8,15,Uruguay,Argentina,3,1,Lipton Cup,Uruguay,FALSE
1910,9,11,Chile,Argentina,0,3,Friendly,Chile,FALSE
1910,9,11,Norway,Sweden,0,4,Friendly,Norway,FALSE
1910,10,16,Germany,Netherlands,1,2,Friendly,Germany,FALSE
1910,11,6,Hungary,Austria,3,0,Friendly,Hungary,FALSE
1910,11,13,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,Argentina,FALSE
1910,11,27,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Argentina,FALSE
1911,1,1,France,Hungary,0,3,Friendly,France,FALSE
1911,1,6,Italy,Hungary,0,1,Friendly,Italy,FALSE
1911,1,8,Switzerland,Hungary,2,0,Friendly,Switzerland,FALSE
1911,1,28,Ireland,Wales,1,2,British Championship,Ireland,FALSE
1911,2,11,England,Ireland,2,1,British Championship,England,FALSE
1911,3,4,England,Belgium,4,0,Friendly,England,FALSE
1911,3,6,Wales,Scotland,2,2,British Championship,Wales,FALSE
1911,3,13,England,Wales,3,0,British Championship,England,FALSE
1911,3,18,Scotland,Ireland,2,0,British Championship,Scotland,FALSE
1911,3,19,Belgium,Netherlands,1,5,Friendly,Belgium,FALSE
1911,3,23,France,England,0,3,Friendly,France,FALSE
1911,3,26,Germany,Switzerland,6,2,Friendly,Germany,FALSE
1911,4,1,England,Scotland,1,1,British Championship,England,FALSE
1911,4,2,Netherlands,Belgium,3,1,Friendly,Netherlands,FALSE
1911,4,9,France,Italy,2,2,Friendly,France,FALSE
1911,4,14,Germany,England,2,2,Friendly,Germany,FALSE
1911,4,17,Netherlands,England,0,1,Friendly,Netherlands,FALSE
1911,4,23,Belgium,Germany,2,1,Friendly,Belgium,FALSE
1911,4,23,Switzerland,France,5,2,Friendly,Switzerland,FALSE
1911,4,30,Uruguay,Argentina,1,2,Friendly,Uruguay,FALSE
1911,4,30,Belgium,France,7,1,Friendly,Belgium,FALSE
1911,5,7,Austria,Hungary,3,1,Friendly,Austria,FALSE
1911,5,7,Italy,Switzerland,2,2,Friendly,Italy,FALSE
1911,5,21,Switzerland,Italy,3,0,Friendly,Switzerland,FALSE
1911,5,25,Switzerland,England,1,4,Friendly,Switzerland,FALSE
1911,6,18,Sweden,Germany,2,4,Friendly,Sweden,FALSE
1911,8,15,Argentina,Uruguay,0,2,Lipton Cup,Argentina,FALSE
1911,9,10,Germany,Austria,1,2,Friendly,Germany,FALSE
1911,9,17,Uruguay,Argentina,2,3,Newton Cup,Uruguay,FALSE
1911,9,17,Sweden,Norway,4,1,Friendly,Sweden,FALSE
1911,10,8,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Uruguay,FALSE
1911,10,21,England,Denmark,3,0,Friendly,England,FALSE
1911,10,22,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Argentina,FALSE
1911,10,22,Finland,Sweden,2,5,Friendly,Finland,FALSE
1911,10,29,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Uruguay,FALSE
1911,10,29,Hungary,Switzerland,9,0,Friendly,Hungary,FALSE
1911,10,29,Luxembourg,France,1,4,Friendly,Luxembourg,FALSE
1911,10,29,Germany,Sweden,1,3,Friendly,Germany,FALSE
1911,11,5,Hungary,Austria,2,0,Friendly,Hungary,FALSE
1911,12,17,Germany,Hungary,1,4,Friendly,Germany,FALSE
1912,1,28,France,Belgium,1,1,Friendly,France,FALSE
1912,2,10,Ireland,England,1,6,British Championship,Ireland,FALSE
1912,2,18,France,Switzerland,4,1,Friendly,France,FALSE
1912,2,20,Belgium,Switzerland,9,2,Friendly,Belgium,FALSE
1912,2,25,Argentina,Uruguay,2,0,Friendly,Argentina,FALSE
1912,3,2,Scotland,Wales,1,0,British Championship,Scotland,FALSE
1912,3,10,Belgium,Netherlands,1,2,Friendly,Belgium,FALSE
1912,3,11,Wales,England,0,2,British Championship,Wales,FALSE
1912,3,16,Ireland,Scotland,1,4,British Championship,Ireland,FALSE
1912,3,16,England,Netherlands,4,0,Friendly,England,FALSE
1912,3,17,Italy,France,3,4,Friendly,Italy,FALSE
1912,3,23,Scotland,England,1,1,British Championship,Scotland,FALSE
1912,3,24,Netherlands,Germany,5,5,Friendly,Netherlands,FALSE
1912,4,8,Belgium,England,1,2,Friendly,Belgium,FALSE
1912,4,13,Wales,Ireland,2,3,British Championship,Wales,FALSE
1912,4,14,Hungary,Germany,4,4,Friendly,Hungary,FALSE
1912,4,28,Netherlands,Belgium,4,3,Friendly,Netherlands,FALSE
1912,5,5,Austria,Hungary,1,1,Friendly,Austria,FALSE
1912,5,5,Switzerland,Germany,1,2,Friendly,Switzerland,FALSE
1912,6,16,Norway,Sweden,1,2,Friendly,Norway,FALSE
1912,6,20,Sweden,Hungary,2,2,Friendly,Sweden,FALSE
1912,6,23,Norway,Hungary,0,6,Friendly,Norway,FALSE
1912,6,27,Sweden,Finland,7,1,Friendly,Sweden,FALSE
1912,6,29,Austria,Germany,5,1,Olympic Games,Sweden,TRUE
1912,6,29,Sweden,Netherlands,3,4,Olympic Games,Sweden,FALSE
1912,6,29,Finland,Italy,3,2,Olympic Games,Sweden,TRUE
1912,6,30,England,Hungary,7,0,Olympic Games,Sweden,TRUE
1912,6,30,Netherlands,Austria,3,1,Olympic Games,Sweden,TRUE
1912,6,30,Denmark,Norway,7,0,Olympic Games,Sweden,TRUE
1912,6,30,Finland,Russia,2,1,Olympic Games,Sweden,TRUE
1912,7,1,Austria,Norway,1,0,Olympic Games,Sweden,TRUE
1912,7,1,Germany,Russia,16,0,Olympic Games,Sweden,TRUE
1912,7,1,Sweden,Italy,0,1,Olympic Games,Sweden,FALSE
1912,7,2,England,Finland,4,0,Olympic Games,Sweden,TRUE
1912,7,2,Denmark,Netherlands,4,1,Olympic Games,Sweden,TRUE
1912,7,3,Austria,Italy,5,1,Olympic Games,Sweden,TRUE
1912,7,3,Hungary,Germany,3,1,Olympic Games,Sweden,TRUE
1912,7,4,England,Denmark,4,2,Olympic Games,Sweden,TRUE
1912,7,4,Netherlands,Finland,9,0,Olympic Games,Sweden,TRUE
1912,7,5,Hungary,Austria,3,0,Olympic Games,Sweden,TRUE
1912,7,5,Norway,Russia,2,1,Friendly,Sweden,TRUE
1912,7,12,Russia,Hungary,0,9,Friendly,Russia,FALSE
1912,7,14,Russia,Hungary,0,12,Friendly,Russia,FALSE
1912,8,15,Uruguay,Argentina,2,0,Lipton Cup,Uruguay,FALSE
1912,8,25,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Uruguay,FALSE
1912,9,22,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Argentina,FALSE
1912,10,6,Argentina,Uruguay,3,3,Newton Cup,Argentina,FALSE
1912,10,6,Denmark,Germany,3,1,Friendly,Denmark,FALSE
1912,11,3,Hungary,Austria,4,0,Friendly,Hungary,FALSE
1912,11,3,Sweden,Norway,4,2,Friendly,Sweden,FALSE
1912,11,9,England,Belgium,4,0,Friendly,England,FALSE
1912,11,17,Germany,Netherlands,2,3,Friendly,Germany,FALSE
1912,12,1,Uruguay,Argentina,1,3,Montevideo Cup,Uruguay,FALSE
1912,12,22,Italy,Austria,1,3,Friendly,Italy,FALSE
1913,1,12,France,Italy,1,0,Friendly,France,FALSE
1913,1,18,Ireland,Wales,0,1,British Championship,Ireland,FALSE
1913,2,4,Philippines,China,2,1,Far Eastern Games,Philippines,FALSE
1913,2,15,Ireland,England,2,1,British Championship,Ireland,FALSE
1913,2,16,Belgium,France,3,0,Friendly,Belgium,FALSE
1913,2,27,France,England,1,4,Friendly,France,FALSE
